date,InvoiceNo,StockCode,CustomerID,total_price
2010-12-01,121,941,95,46192.49
2010-12-02,137,907,99,47197.57
2010-12-03,57,673,50,23876.63
2010-12-05,87,1142,75,31361.28
2010-12-06,94,916,82,31009.33
2010-12-07,71,630,65,53730.96
2010-12-08,111,932,99,39094.2
2010-12-09,98,886,90,38193.91
2010-12-10,72,737,53,33488.38
2010-12-12,43,799,42,17102.35
2010-12-13,64,736,59,27578.34
2010-12-14,81,878,73,29235.13
2010-12-15,70,751,66,30251.47
2010-12-16,113,894,98,48791.87
2010-12-17,55,487,51,19966.36
2010-12-19,18,373,17,7292.95
2010-12-20,50,519,41,19599.06
2010-12-21,27,345,23,15929.16
2010-12-22,14,188,13,4886.52
2010-12-23,17,294,15,5644.77
2011-01-04,35,502,34,12105.11
2011-01-05,48,679,45,28799.43
2011-01-06,46,715,45,34343.79
2011-01-07,47,691,45,23797.79
2011-01-09,48,640,48,15590.68
2011-01-10,34,558,32,15330.83
2011-01-11,53,578,47,60243.73
2011-01-12,42,583,42,17124.74
2011-01-13,41,545,41,15159.460000000001
2011-01-14,38,513,37,39509.7
2011-01-16,25,422,22,6976.39
2011-01-17,46,605,45,16527.05
2011-01-18,32,405,31,87559.21
2011-01-19,33,659,33,21586.78
2011-01-20,34,511,30,15197.08
2011-01-21,34,502,32,24276.01
2011-01-23,27,568,27,10306.1
2011-01-24,44,521,43,17601.87
2011-01-25,59,693,57,23994.38
2011-01-26,53,623,49,17424.45
2011-01-27,50,769,50,22050.49
2011-01-28,37,426,36,17247.2
2011-01-30,24,483,22,6542.61
2011-01-31,57,628,50,18806.43
2011-02-01,58,686,57,26358.7
2011-02-02,56,621,55,17091.15
2011-02-03,45,530,44,22171.9
2011-02-04,45,527,41,18087.96
2011-02-06,11,220,11,3439.67
2011-02-07,38,659,35,23382.97
2011-02-08,38,457,37,14153.34
2011-02-09,23,348,22,11910.83
2011-02-10,40,476,39,14155.36
2011-02-11,38,422,34,18579.96
2011-02-13,20,425,20,5645.48
2011-02-14,36,500,36,22999.39
2011-02-15,53,661,47,37750.62
2011-02-16,62,601,56,23413.97
2011-02-17,55,642,50,17659.64
2011-02-18,35,454,34,14438.73
2011-02-20,26,593,26,9437.8
2011-02-21,33,624,31,32724.38
2011-02-22,50,709,47,29116.63
2011-02-23,53,627,49,19315.97
2011-02-24,53,702,52,21463.94
2011-02-25,45,517,42,18377.14
2011-02-27,33,566,31,9382.71
2011-02-28,51,610,49,15026.68
2011-03-01,56,722,52,23621.59
2011-03-02,42,543,40,18666.14
2011-03-03,47,592,46,32818.19
2011-03-04,45,600,38,17302.55
2011-03-06,26,509,24,9951.67
2011-03-07,58,703,49,20247.85
2011-03-08,44,690,41,22184.11
2011-03-09,51,629,47,20320.23
2011-03-10,52,555,46,24429.77
2011-03-11,48,431,42,20894.75
2011-03-13,16,416,16,4117.22
2011-03-14,48,678,41,25866.33
2011-03-15,41,571,40,14896.28
2011-03-16,50,572,46,21715.11
2011-03-17,56,663,51,31976.51
2011-03-18,52,644,48,23334.6
2011-03-20,57,732,56,19880.99
2011-03-21,48,602,47,16020.1
2011-03-22,41,746,40,19016.94
2011-03-23,59,660,55,21566.02
2011-03-24,68,781,63,36496.79
2011-03-25,52,633,45,27271.1
2011-03-27,31,502,31,9189.77
2011-03-28,58,760,52,19961.67
2011-03-29,50,671,46,37190.52
2011-03-30,66,745,63,29523.85
2011-03-31,59,614,57,25621.11
2011-04-01,68,691,59,24487.9
2011-04-03,19,519,18,6872.53
2011-04-04,54,704,49,28998.010000000002
2011-04-05,46,607,45,28667.42
2011-04-06,37,555,36,12698.32
2011-04-07,61,736,57,16780.32
2011-04-08,65,636,63,22673.91
2011-04-10,32,635,31,9879.75
2011-04-11,59,721,54,20179.7
2011-04-12,60,624,54,23988.6
2011-04-13,60,662,54,24450.27
2011-04-14,82,742,75,35682.73
2011-04-15,41,525,40,17999.181
2011-04-17,42,620,39,12630.34
2011-04-18,62,815,56,43671.37
2011-04-19,53,721,52,18811.19
2011-04-20,62,548,58,25715.8
2011-04-21,71,737,64,27771.04
2011-04-26,59,701,55,21536.86
2011-04-27,61,676,56,23566.91
2011-04-28,55,630,49,21312.18
2011-05-01,18,357,18,6958.11
2011-05-03,59,565,50,28877.21
2011-05-04,62,694,55,27509.81
2011-05-05,82,675,76,25191.79
2011-05-06,77,739,64,30783.33
2011-05-08,63,739,58,18731.98
2011-05-09,63,553,59,21608.16
2011-05-10,70,688,63,29807.25
2011-05-11,73,739,56,31848.3
2011-05-12,84,882,68,59827.74
2011-05-13,67,613,52,25815.72
2011-05-15,30,548,29,9667.15
2011-05-16,64,626,52,35706.7
2011-05-17,72,708,56,46361.090000000004
2011-05-18,71,621,62,32775.69
2011-05-19,92,739,82,31521.87
2011-05-20,69,528,58,25351.44
2011-05-22,61,875,57,24102.0
2011-05-23,64,735,55,31232.53
2011-05-24,62,651,53,32460.83
2011-05-25,60,576,52,21870.71
2011-05-26,61,517,50,32764.38
2011-05-27,56,531,49,21109.22
2011-05-29,24,443,20,7338.9400000000005
2011-05-31,51,562,48,18133.2
2011-06-01,37,487,35,15380.39
2011-06-02,42,657,33,28078.91
2011-06-03,41,434,37,15024.11
2011-06-05,67,755,62,25423.760000000002
2011-06-06,56,671,54,16269.03
2011-06-07,71,837,68,33807.85
2011-06-08,82,810,71,30122.23
2011-06-09,82,801,76,42862.8
